"Country,",Total Cases,Total deaths
China,"78,832","2,788"
S. Korea,"2,337",13
Diamond Princess,705,4
Italy,655,17
Iran,388,34
Japan,226,5
Singapore,96,
Hong Kong,93,2
Germany,60,
USA,60,
Kuwait,45,
France,41,2
Thailand,41,
Bahrain,36,
Taiwan,34,1
Spain,26,
Malaysia,25,
Australia,24,
U.K.,19,
U.A.E.,19,
Vietnam,16,
Switzerland,15,
Canada,14,
Macao,10,
Iraq,7,
Sweden,7,
Oman,6,
Austria,5,
Croatia,5,
Greece,4,
Israel,4,
Norway,4,
Philippines,3,1
India,3,
Lebanon,3,
Finland,2,
Georgia,2,
Netherlands,2,
Pakistan,2,
Russia,2,
Afghanistan,1,
Algeria,1,
Belarus,1,
Belgium,1,
Brazil,1,
Cambodia,1,
Denmark,1,
Egypt,1,
Estonia,1,
Lithuania,1,
North Macedonia,1,
Nepal,1,
New Zealand,1,
Nigeria,1,
Romania,1,
San Marino,1,
Sri Lanka,1,
Azerbaijan,1,
